,customerid,churn,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,charges_monthly,charges_total,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines
116,0196-VULGZ,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,84.35,474.9,Female,1,1,0,6,1,Yes
117,0197-PNKNK,No,Fiber optic,Yes,No,Yes,No,No,No,One year,0,Bank transfer (automatic),84.45,5848.6,Female,0,1,1,69,1,Yes
118,0201-MIBOL,No,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,1,Bank transfer (automatic),102.4,6471.85,Female,1,0,0,66,1,Yes
119,0201-OAMXR,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,0,Credit card (automatic),115.55,8127.6,Female,0,0,0,70,1,Yes
120,0203-HHYIJ,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),25.3,676.35,Male,0,0,0,25,1,Yes
121,0206-OYVOC,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,19.25,864.2,Female,0,1,1,46,1,No
122,0206-TBWLC,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,1,Mailed check,114.65,6049.5,Female,0,1,0,54,1,Yes
123,0207-MDKNV,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,0,Electronic check,105.1,1582.75,Female,0,0,0,15,1,No
124,0208-BPQEJ,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),19.4,198.1,Female,0,1,1,12,1,No
125,0212-ISBBF,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,50.35,1098.85,Female,0,0,0,22,0,No phone service
126,0214-JHPFW,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),57.8,4039.3,Female,0,1,0,70,0,No phone service
127,0215-BQKGS,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,1,Credit card (automatic),84.3,2438.6,Male,0,0,0,30,1,No
128,0218-QNVAS,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,0,Bank transfer (automatic),100.55,7113.75,Male,0,1,1,71,1,Yes
129,0219-QAERP,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Credit card (automatic),19.8,576.65,Male,0,1,0,30,1,No
130,0219-YTZUE,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,1,Bank transfer (automatic),84.8,371.9,Male,0,1,1,4,1,Yes
131,0220-EBGCE,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,1,Electronic check,85.85,167.3,Male,0,0,0,2,1,No
132,0221-NAUXK,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Bank transfer (automatic),19.95,219.5,Male,0,0,1,10,1,No
133,0221-WMXNQ,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,0,Electronic check,75.35,273.4,Male,1,0,0,4,1,No
134,0222-CNVPT,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,1,Credit card (automatic),48.8,2555.05,Male,1,0,0,52,0,No phone service
135,0224-HJAPT,Yes,DSL,No,No,No,No,No,No,Month-to-month,0,Electronic check,47.15,223.15,Male,0,0,0,5,1,Yes
136,0224-NIJLP,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,20.15,165.5,Male,0,1,1,8,1,No
137,0224-RLWWD,No,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,44.3,89.3,Female,1,0,0,2,1,No
138,0225-ZORZP,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,0,Electronic check,84.3,235.05,Male,0,0,0,3,1,No
139,0228-MAUWC,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,0,Electronic check,59.55,1144.6,Male,0,0,0,19,1,Yes
140,0229-LFJAF,No,DSL,Yes,Yes,Yes,Yes,No,No,Two year,0,Bank transfer (automatic),69.65,4908.25,Male,0,0,0,72,1,Yes
141,0230-UBYPQ,No,DSL,Yes,No,No,Yes,No,No,One year,0,Bank transfer (automatic),36.1,2298.9,Male,1,1,0,63,0,No phone service
142,0230-WEQUW,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,1,Bank transfer (automatic),56.6,3789.2,Male,0,1,0,66,0,No phone service
143,0231-LXVAP,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,1,Electronic check,75.9,75.9,Male,0,0,0,1,1,No
144,0233-FTHAV,No,Fiber optic,No,No,Yes,No,No,No,One year,1,Bank transfer (automatic),79.2,4765,Female,0,0,0,60,1,Yes
145,0234-TEVTT,No,DSL,Yes,No,Yes,No,No,Yes,One year,0,Credit card (automatic),45.0,2196.3,Female,0,1,1,48,0,No phone service
146,0235-KGSLC,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,1,Credit card (automatic),85.55,85.55,Female,0,0,0,1,1,No
147,0236-HFWSV,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,93.35,1444.65,Male,0,0,0,15,1,Yes
148,0237-YFUTL,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,1,Bank transfer (automatic),109.65,5405.8,Female,0,1,0,50,1,Yes
149,0238-WHBIQ,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),89.7,6339.3,Male,0,1,1,72,1,Yes
150,0239-OXEXL,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,0,Mailed check,84.25,3847.6,Female,0,0,0,46,1,Yes
151,0244-LGNFY,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),92.65,6733,Female,0,1,1,72,1,Yes
152,0247-SLUJI,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.7,19.7,Male,0,1,1,1,1,No
153,0248-IPDFW,No,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,50.1,50.1,Female,0,0,0,1,1,Yes
154,0248-PGHBZ,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,1,Bank transfer (automatic),92.45,6140.85,Female,1,0,0,67,1,No
155,0253-ZTEOB,No,DSL,No,Yes,No,Yes,Yes,Yes,Two year,0,Electronic check,79.65,3870.3,Female,0,1,1,48,1,Yes
156,0254-FNMCI,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,109.9,7624.2,Female,0,0,0,72,1,No
157,0254-KCJGT,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,1,Credit card (automatic),81.4,4354.45,Male,0,1,0,52,1,Yes
158,0254-WWRKD,No,DSL,No,Yes,No,No,No,No,One year,0,Credit card (automatic),50.55,3431.75,Female,0,1,1,67,1,No
159,0256-LTHVJ,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,81.05,2227.1,Female,0,1,1,28,1,No
160,0257-KXZGU,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,0,Bank transfer (automatic),62.45,2045.55,Female,0,1,1,32,1,Yes
161,0257-ZESQC,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),75.2,1929.35,Female,1,1,0,27,1,No
162,0258-NOKBL,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,0,Electronic check,90.4,268.45,Male,0,0,0,3,1,No
163,0259-GBZSH,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,85.65,181.5,Male,0,0,0,2,1,Yes
164,0260-ZDLGK,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Mailed check,72.9,651.4,Female,0,0,1,9,1,No
165,0263-FJTQO,No,DSL,Yes,No,No,Yes,Yes,No,Two year,1,Credit card (automatic),70.5,3486.65,Male,0,1,1,50,1,Yes
166,0264-CNITK,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),20.1,1389.6,Female,0,1,1,71,1,No
167,0265-EDXBD,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,74.9,2303.35,Male,1,1,0,32,1,Yes
168,0265-PSUAE,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,0,Bank transfer (automatic),100.7,1522.7,Female,0,1,1,16,1,No
169,0266-CLZKZ,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),105.65,6717.9,Female,0,1,1,67,1,Yes
170,0266-GMEAO,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),114.3,8058.55,Male,0,1,1,72,1,Yes
171,0268-QKIWO,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Electronic check,19.75,58.85,Female,0,0,0,3,1,No
172,0269-XFESX,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,24.35,538.5,Male,0,1,1,23,1,Yes
173,0270-THENM,No,DSL,Yes,Yes,Yes,Yes,No,No,Two year,0,Bank transfer (automatic),69.85,5102.35,Male,0,1,1,72,1,Yes
